osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
280430828,node,,police,,,,,,,18.5075612,73.9173998,Police Station
671451162,node,Pune Cantonment Fire Station,fire_station,,,,,,,18.4985647,73.8843225,Fire Station
672120487,node,Sardar Patel Cantonment General Hospital,hospital,,,,,,,18.5027163,73.87712,Hospital
674697804,node,Dr. Babasaheb Ambedkar Cantonment General Hospital,hospital,,,,,,,18.569025,73.8486994,Hospital
674930856,node,Council Hall Police Station,police,,,,,,,18.5244252,73.8788557,Police Station
678341812,node,Command Hospital Southern Command,hospital,,,,,,,18.5005828,73.8894328,Hospital
678444711,node,Sambhaji Police Chowki,police,,,,,,,18.5131785,73.8438921,Police Station
772571829,node,Sassoon Hospital,hospital,,,,,,,18.5251434,73.8695664,Hospital
865849506,node,Sanjeevani Vitalife Medipoint Hospital,hospital,yes,,,,,,18.5649263,73.8022626,Hospital
865854267,node,LifeLine Hospital,hospital,,,,,,,18.5597445,73.8062674,Hospital
871515219,node,Dr. Chowdhary,hospital,,,,,,,18.5547291,73.8082012,Hospital
871515522,node,Dr. Bonagiri,hospital,,,,,,,18.5554816,73.8088556,Hospital
988738259,node,Shree Sakthi Hospital,hospital,,,,,,,18.5883392,73.8015444,Hospital
1054641704,node,Karva Hospital,hospital,,,,,,,18.5009733,73.8461063,Hospital
1065032008,node,Ayurvedic Hospital,hospital,,,,,,,18.6548547,73.7696807,Hospital
1065055883,node,Jeevan Deep Medicare Centre,hospital,,,,,,,18.5433023,73.7838607,Hospital
1072235063,node,Anand Hospital,hospital,,,,,,,18.6539354,73.7646919,Hospital
1109153493,node,Sahyadri Hospital,hospital,,,,,https://sahyadrihospital.com/,,18.5075061,73.8058341,Hospital
1109153494,node,"Krishna Hospital, Pune",hospital,,,,,,,18.5092055,73.8128199,Hospital
1304723072,node,"Suncity Road Fire Station, Pune",fire_station,,,,,,,18.4754767,73.815447,Fire Station
1305056480,node,Madhukar General Hospital,hospital,,,,,,,18.4789234,73.8241232,Hospital
1309316787,node,Dr. Naik Clinic,hospital,no,,,,,,18.4745644,73.8140764,Hospital
1534465625,node,Deccan Gymkhana Police Chowki,police,,,,,,,18.5141406,73.8403808,Police Station
1703723978,node,Pimple Saudagar Police Statiom,police,,,,,,,18.6015562,73.7993609,Police Station
1743974394,node,Shewale Hospital,hospital,,,,,,,18.5626652,73.8325327,Hospital
1762218902,node,Trimurti Hospital,hospital,,,,,,,18.462396,73.8150518,Hospital
1886884517,node,Sanjiwini Hospital,hospital,,,,,,,18.4433669,73.848079,Hospital
1909536882,node,Ganesh Peth Police station,police,,,,,,,18.5161748,73.8621906,Police Station
2027713730,node,Laxminagar Police chowky,police,,,,,,,18.4896021,73.8497008,Police Station
2146313490,node,Hinjawadi Police Chowki,police,,,,,,,18.5917477,73.7387073,Police Station
2183543117,node,Yerawada Police Station,police,,,,,,,18.5527989,73.8957965,Police Station
2192111450,node,Kothrud Fire Station,fire_station,,,,,,,18.4988894,73.8134797,Fire Station
2289023583,node,Balagandharva Police Station,police,,,,,,,18.5222358,73.8478417,Police Station
2289023585,node,Sant Kabir Police Station,police,,,,,,,18.5148758,73.8688574,Police Station
2289294093,node,Surya Sahyadri Hospital,hospital,,,,02024574232,https://www.sahyadrihospital.com/,Sahyadri Hospitals,18.521259,73.8556767,Hospital
2410718625,node,Perugate Police Chowki,police,,,,,,,18.5113926,73.8487755,Police Station
2509520919,node,Alankar Police Chowki,police,,,,,,,18.4984329,73.8262153,Police Station
2517303173,node,Senadatta Police Chowki,police,,,,,,,18.5052065,73.8446033,Police Station
2550695929,node,Narayan Peth Police Chowki,police,,,,,,,18.5162004,73.8478649,Police Station
2684638055,node,Police Madat Kendra,police,,,,,,,18.7433889,73.4833228,Police Station
2694489803,node,Khadki Police Station,police,,,,,,,18.5571921,73.8454253,Police Station
2868930213,node,Kasba Peth Police Chowki,police,,,,,,,18.5204757,73.8560378,Police Station
